matrix,P,A,S,C,L/S,L/A,L/P,A/P,gA,gP,GenSD,VulSD,mJP,mJA,maxJP,maxJA,NODFst,N_LowHigh,#A,#P,meandegA,maxdegA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,22,71,93,0.19142,3.2151,4.2113,13.591,3.2273,0.37355,0.3519,10.676,107.81,0.11972,0.13945,0.27949,0.55551,0.2285,1,71,22,4.2113,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,21,70,91,0.14422,2.3297,3.0286,10.095,3.3333,0.44653,0.15913,7.8362,90.571,0.11903,0.1481,0.28332,0.67,0.62781,1,70,21,3.0286,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,20,71,91,0.13944,2.1758,2.7887,9.9,3.55,0.47532,0.50234,5.9236,53.352,0.098001,0.099105,0.23058,0.60312,0.13951,1,71,20,2.7887,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,23,71,94,0.14636,2.5426,3.3662,10.391,3.087,0.47918,0.26732,6.8336,63.11,0.084169,0.1052,0.22342,0.55424,0.12086,1,71,23,3.3662,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,19,71,90,0.16086,2.4111,3.0563,11.421,3.7368,0.49703,0.45832,6.4502,63.626,0.10535,0.10299,0.24647,0.59447,0.13999,1,71,19,3.0563,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,22,71,93,0.14917,2.5054,3.2817,10.591,3.2273,0.45393,0.34435,7.4253,37.787,0.098595,0.081501,0.23302,0.53031,0.02287,0,71,22,3.2817,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,23,69,92,0.15438,2.663,3.5507,10.652,3,0.40752,0.30465,8.1366,37.949,0.10175,0.085912,0.25395,0.53354,-0.009958,0,69,23,3.5507,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,23,69,92,0.15312,2.6413,3.5217,10.565,3,0.40664,0.17355,6.9025,34.135,0.087147,0.082475,0.21711,0.48095,-0.0068321,0,69,23,3.5217,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,19,68,87,0.16641,2.4713,3.1618,11.316,3.5789,0.39316,0.51779,4.995,32.677,0.089286,0.093734,0.2416,0.54979,-0.098345,0,68,19,3.1618,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,20,70,90,0.15857,2.4667,3.1714,11.1,3.5,0.36219,0.43588,5.6105,57.946,0.084601,0.097156,0.22558,0.57254,0.067707,0,70,20,3.1714,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,21,70,91,0.1551,2.5055,3.2571,10.857,3.3333,0.35469,0.51501,5.0425,69.204,0.077504,0.1156,0.20823,0.56762,0.18068,1,70,21,3.2571,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,19,71,90,0.15345,2.3,2.9155,10.895,3.7368,0.49349,0.42291,5.5481,48.301,0.09588,0.092922,0.22,0.62064,-0.0097656,0,71,19,2.9155,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,21,71,92,0.14956,2.4239,3.1408,10.619,3.381,0.48281,0.26184,6.333,56.738,0.090306,0.096402,0.21184,0.5522,0.096087,0,71,21,3.1408,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,19,68,87,0.15867,2.3563,3.0147,10.789,3.5789,0.54237,0.30416,6.432,57.945,0.10502,0.10548,0.25139,0.59601,0.17309,1,68,19,3.0147,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,22,68,90,0.14639,2.4333,3.2206,9.9545,3.0909,0.46948,0.36484,6.8341,84.828,0.090254,0.1499,0.22873,0.60756,0.39495,1,68,22,3.2206,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,19,72,91,0.16374,2.4615,3.1111,11.789,3.7895,0.44903,0.38991,5.6614,47.253,0.092702,0.092012,0.20495,0.58266,-0.020695,0,72,19,3.1111,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,20,71,91,0.15563,2.4286,3.1127,11.05,3.55,0.47983,0.24181,6.103,60.255,0.091317,0.098626,0.20949,0.59319,0.15756,1,71,20,3.1127,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,29,63,92,0.14231,2.8261,4.127,8.9655,2.1724,0.27953,0.52025,13.936,35.499,0.11845,0.083385,0.26057,0.42771,0.088886,0,63,29,4.127,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,22,71,93,0.14789,2.4839,3.2535,10.5,3.2273,0.45863,0.47387,7.1009,39.521,0.094923,0.082577,0.24009,0.52961,0.043326,0,71,22,3.2535,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,26,67,93,0.16131,3.0215,4.194,10.808,2.5769,0.34458,0.34133,8.7379,45.033,0.089451,0.094649,0.22873,0.46577,-0.0026305,0,67,26,4.194,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,19,68,87,0.16796,2.4943,3.1912,11.421,3.5789,0.42632,0.25156,5.3812,50.979,0.089138,0.099168,0.22228,0.55241,0.0063902,0,68,19,3.1912,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,23,71,94,0.13472,2.3404,3.0986,9.5652,3.087,0.49111,0.58105,8.2673,48.33,0.11212,0.088642,0.25279,0.5384,0.11947,1,71,23,3.0986,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,23,68,91,0.15665,2.6923,3.6029,10.652,2.9565,0.43115,0.43486,8.6735,72.646,0.099706,0.114,0.25798,0.5802,0.17848,1,68,23,3.6029,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,26,67,93,0.13892,2.6022,3.6119,9.3077,2.5769,0.39686,0.17518,9.1539,74.544,0.089741,0.13998,0.24414,0.54256,0.47036,1,67,26,3.6119,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,26,67,93,0.15212,2.8495,3.9552,10.192,2.5769,0.41253,0.41414,11.571,40.669,0.11188,0.084717,0.27121,0.4608,0.045017,0,67,26,3.9552,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,19,70,89,0.14211,2.1236,2.7,9.9474,3.6842,0.43463,0.40071,5.839,49.568,0.10745,0.092419,0.21849,0.56492,-0.013862,0,70,19,2.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,22,68,90,0.16243,2.7,3.5735,11.045,3.0909,0.34068,0.22822,6.8004,41.953,0.092267,0.091444,0.24363,0.51382,-0.0076007,0,68,22,3.5735,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,25,65,90,0.14769,2.6667,3.6923,9.6,2.6,0.37397,0.39905,10.483,42.392,0.11126,0.086471,0.25147,0.46288,0.10097,1,65,25,3.6923,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,26,66,92,0.15734,2.9348,4.0909,10.385,2.5385,0.31866,0.48905,9.4583,37.852,0.095493,0.086803,0.26591,0.45833,0.025837,0,66,26,4.0909,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,27,67,94,0.14925,2.8723,4.0299,10,2.4815,0.36396,0.35096,9.2261,54.278,0.085346,0.097332,0.2366,0.4501,0.10273,1,67,27,4.0299,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,18,71,89,0.15728,2.2584,2.831,11.167,3.9444,0.46016,0.41299,4.514,64.575,0.083886,0.10694,0.23145,0.62156,0.10881,1,71,18,2.831,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,21,72,93,0.15278,2.4839,3.2083,11,3.4286,0.46925,0.20811,6.9155,67.809,0.0973,0.10487,0.21479,0.55123,0.14705,1,72,21,3.2083,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,27,65,92,0.15043,2.8696,4.0615,9.7778,2.4074,0.32843,0.14845,8.7015,60.659,0.082166,0.11318,0.22845,0.48722,0.19583,1,65,27,4.0615,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,23,69,92,0.15816,2.7283,3.6377,10.913,3,0.42467,0.27105,8.3925,47.101,0.10166,0.092241,0.24056,0.49664,0.049599,0,69,23,3.6377,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,22,68,90,0.14305,2.3778,3.1471,9.7273,3.0909,0.46973,0.2017,8.6701,72.927,0.12068,0.12165,0.28295,0.62177,0.40526,1,68,22,3.1471,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,26,67,93,0.12744,2.3871,3.3134,8.5385,2.5769,0.39999,0.25962,9.2864,46.594,0.1037,0.094547,0.27468,0.48998,0.2157,1,67,26,3.3134,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,22,67,89,0.13908,2.3034,3.0597,9.3182,3.0455,0.41655,0.2822,7.1634,46.492,0.098164,0.090341,0.2464,0.56064,0.040894,0,67,22,3.0597,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,22,70,92,0.1526,2.5543,3.3571,10.682,3.1818,0.42816,0.22418,7.001,36.019,0.094588,0.082239,0.23996,0.52624,0.02864,0,70,22,3.3571,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,28,65,93,0.13077,2.5591,3.6615,8.5,2.3214,0.33023,0.52003,12.754,38.329,0.12916,0.086186,0.3003,0.49883,0.28964,1,65,28,3.6615,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,29,63,92,0.14778,2.9348,4.2857,9.3103,2.1724,0.36737,0.33918,14.735,39.036,0.11954,0.086749,0.29307,0.44706,0.14009,1,63,29,4.2857,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,21,70,91,0.15578,2.5165,3.2714,10.905,3.3333,0.41558,0.25791,5.8923,62.634,0.08429,0.10411,0.23971,0.54883,0.004384,0,70,21,3.2714,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,22,71,93,0.15429,2.5914,3.3944,10.955,3.2273,0.42898,0.5355,6.427,42.424,0.088725,0.087918,0.22066,0.53399,0.019879,0,71,22,3.3944,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,19,71,90,0.15493,2.3222,2.9437,11,3.7368,0.4762,0.5857,5.4707,47.948,0.09204,0.091053,0.19333,0.60955,0.018805,0,71,19,2.9437,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,19,68,87,0.15557,2.3103,2.9559,10.579,3.5789,0.4256,0.49895,6.5488,46.691,0.10832,0.091719,0.21893,0.57753,0.025606,0,68,19,2.9559,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,29,65,94,0.15703,3.1489,4.5538,10.207,2.2414,0.35846,0.41645,12.627,46.405,0.10041,0.092016,0.26515,0.42847,0.087569,0,65,29,4.5538,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,26,64,90,0.15865,2.9333,4.125,10.154,2.4615,0.3413,0.31448,11.817,48.458,0.11156,0.092778,0.26555,0.43356,0.10172,1,64,26,4.125,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,20,71,91,0.15704,2.4505,3.1408,11.15,3.55,0.43817,0.83129,6.1524,36.941,0.098467,0.088453,0.2437,0.5833,-0.031581,0,71,20,3.1408,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,21,69,90,0.16494,2.6556,3.4638,11.381,3.2857,0.41851,0.59602,6.3029,42.504,0.092369,0.094807,0.22516,0.50655,0.0024166,0,69,21,3.4638,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,20,72,92,0.15625,2.4457,3.125,11.25,3.6,0.44182,0.35947,4.974,65.991,0.076273,0.1014,0.2063,0.54514,0.01597,0,72,20,3.125,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,21,68,89,0.16807,2.6966,3.5294,11.429,3.2381,0.3489,0.39186,6.1728,38.684,0.091833,0.092584,0.23452,0.51226,-0.028036,0,68,21,3.5294,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,19,71,90,0.15641,2.3444,2.9718,11.105,3.7368,0.48588,0.53609,4.6577,69.539,0.079105,0.11207,0.19655,0.59355,0.092639,0,71,19,2.9718,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,19,70,89,0.16241,2.427,3.0857,11.368,3.6842,0.49492,0.35946,6.4714,77.588,0.10506,0.11837,0.23371,0.59167,0.17809,1,70,19,3.0857,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,20,73,93,0.15,2.3548,3,10.95,3.65,0.4102,0.26862,4.7434,88.779,0.071493,0.12934,0.20342,0.60598,0.31339,1,73,20,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,26,65,91,0.15385,2.8571,4,10,2.5,0.39894,0.39667,9.1378,53.666,0.090409,0.10126,0.24557,0.47638,0.17735,1,65,26,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,19,72,91,0.15351,2.3077,2.9167,11.053,3.7895,0.4918,0.78674,5.1748,45.193,0.090874,0.092204,0.23243,0.61306,-0.0086111,0,72,19,2.9167,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,19,71,90,0.15271,2.2889,2.9014,10.842,3.7368,0.52456,0.52782,7.5366,37.255,0.13516,0.084259,0.29219,0.65524,0.03186,0,71,19,2.9014,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,20,71,91,0.15775,2.4615,3.1549,11.2,3.55,0.43479,0.58769,6.4799,42.314,0.10149,0.089089,0.24747,0.58937,-0.043257,0,71,20,3.1549,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,24,67,91,0.15299,2.7033,3.6716,10.25,2.7917,0.41332,0.39669,8.2939,45.06,0.095023,0.090747,0.25948,0.52453,0.10027,1,67,24,3.6716,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,23,69,92,0.15627,2.6957,3.5942,10.783,3,0.39955,0.50262,7.405,35.607,0.092734,0.084807,0.21559,0.47836,-0.0056753,0,69,23,3.5942,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,27,66,93,0.15881,3.043,4.2879,10.481,2.4444,0.33448,0.29604,10.251,40.633,0.095228,0.08907,0.24386,0.41886,-0.0093378,0,66,27,4.2879,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,20,73,93,0.15411,2.4194,3.0822,11.25,3.65,0.4548,0.43204,5.1818,51.214,0.08146,0.090623,0.20956,0.55135,-0.031312,0,73,20,3.0822,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,18,70,88,0.14444,2.0682,2.6,10.111,3.8889,0.52785,0.30633,5.4105,45.07,0.10404,0.090154,0.23553,0.61833,0.01839,0,70,18,2.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,27,65,92,0.12479,2.3804,3.3692,8.1111,2.4074,0.44478,0.17014,9.8692,68.653,0.11087,0.15902,0.28985,0.62082,0.4788,1,65,27,3.3692,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,25,68,93,0.15176,2.7742,3.7941,10.32,2.72,0.35965,0.33856,9.3296,40.926,0.09876,0.085775,0.25423,0.4544,0.056991,0,68,25,3.7941,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,22,72,94,0.15025,2.5319,3.3056,10.818,3.2727,0.48146,0.22723,7.1617,53.795,0.091543,0.090255,0.22316,0.53025,0.12487,1,72,22,3.3056,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,25,68,93,0.13588,2.4839,3.3971,9.24,2.72,0.3946,0.36835,8.2825,63.418,0.091951,0.11248,0.25214,0.52362,0.2587,1,68,25,3.3971,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,26,67,93,0.15212,2.8495,3.9552,10.192,2.5769,0.37706,0.25906,7.7112,52.608,0.081034,0.099077,0.22127,0.42709,0.075968,0,67,26,3.9552,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,20,71,91,0.15141,2.3626,3.0282,10.75,3.55,0.46255,0.24594,6.8092,44.375,0.10523,0.087721,0.23043,0.59531,0.04161,0,71,20,3.0282,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,28,65,93,0.15,2.9355,4.2,9.75,2.3214,0.34048,0.49083,12.249,47.218,0.10593,0.094128,0.27503,0.4515,0.22405,1,65,28,4.2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,24,70,94,0.14643,2.617,3.5143,10.25,2.9167,0.41488,0.28746,6.7358,50.87,0.079827,0.092445,0.20307,0.49323,0.06043,0,70,24,3.5143,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,25,67,92,0.15642,2.8478,3.9104,10.48,2.68,0.38513,0.5932,9.7401,35.426,0.10354,0.084251,0.24354,0.46943,0.037436,0,67,25,3.9104,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,27,67,94,0.12714,2.4468,3.4328,8.5185,2.4815,0.32813,0.26335,10.793,31.287,0.11423,0.073109,0.26879,0.47619,0.098217,0,67,27,3.4328,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,22,70,92,0.15844,2.6522,3.4857,11.091,3.1818,0.44697,0.24825,7.7998,77.893,0.09662,0.11814,0.23445,0.62808,0.23225,1,70,22,3.4857,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,18,72,90,0.15586,2.2444,2.8056,11.222,4,0.51992,0.36519,5.8744,51.001,0.10967,0.099643,0.26346,0.65446,0.064849,0,72,18,2.8056,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,23,68,91,0.14386,2.4725,3.3088,9.7826,2.9565,0.4874,0.30308,7.1003,79.527,0.08734,0.13921,0.22262,0.55769,0.41615,1,68,23,3.3088,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,19,72,91,0.16155,2.4286,3.0694,11.632,3.7895,0.46006,0.53069,5.4356,57.011,0.090781,0.099129,0.22722,0.58371,-0.021065,0,72,19,3.0694,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,27,66,93,0.13861,2.6559,3.7424,9.1481,2.4444,0.40904,0.34675,12.146,29.665,0.12104,0.073744,0.26064,0.45824,0.072697,0,66,27,3.7424,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,19,73,92,0.15645,2.3587,2.9726,11.421,3.8421,0.42742,0.55536,4.54,49.097,0.083261,0.096936,0.22452,0.56868,0.0010618,0,73,19,2.9726,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,20,68,88,0.15735,2.4318,3.1471,10.7,3.4,0.4402,0.18181,7.1983,45.143,0.10817,0.09084,0.2419,0.52825,0.040524,0,68,20,3.1471,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,22,70,92,0.1513,2.5326,3.3286,10.591,3.1818,0.44211,0.21939,7.4692,54.364,0.093859,0.092877,0.2286,0.50177,0.12726,1,70,22,3.3286,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,22,68,90,0.15174,2.5222,3.3382,10.318,3.0909,0.43411,0.24407,6.4641,78.412,0.082032,0.1244,0.19776,0.57166,0.33482,1,68,22,3.3382,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,25,67,92,0.14567,2.6522,3.6418,9.76,2.68,0.38316,0.21698,7.1359,85.332,0.075135,0.14364,0.2303,0.54853,0.42215,1,67,25,3.6418,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,28,64,92,0.15458,3.0109,4.3281,9.8929,2.2857,0.35894,0.2991,12.79,42.516,0.10611,0.088399,0.25216,0.45998,0.1103,1,64,28,4.3281,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,20,69,89,0.16087,2.4944,3.2174,11.1,3.45,0.42679,0.49032,5.1428,63.602,0.080059,0.10798,0.22335,0.58668,0.0069981,0,69,20,3.2174,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,19,65,84,0.16356,2.4048,3.1077,10.632,3.4211,0.39793,0.52999,6.8423,62.014,0.11153,0.11323,0.25559,0.57378,0.1669,1,65,19,3.1077,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,19,73,92,0.14852,2.2391,2.8219,10.842,3.8421,0.46864,0.33517,4.2157,78.206,0.075242,0.12761,0.21762,0.62003,0.27867,1,73,19,2.8219,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,27,64,91,0.15972,3.033,4.3125,10.222,2.3704,0.36813,0.24777,10.504,50.822,0.093781,0.099325,0.23045,0.42645,0.083801,0,64,27,4.3125,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,28,65,93,0.1544,3.0215,4.3231,10.036,2.3214,0.37706,0.6043,12.836,40.002,0.10648,0.083336,0.2957,0.4604,0.10511,1,65,28,4.3231,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,27,65,92,0.14416,2.75,3.8923,9.3704,2.4074,0.40585,0.36577,12.708,35.075,0.12089,0.075288,0.28954,0.47341,0.14654,1,65,27,3.8923,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,20,69,89,0.16667,2.5843,3.3333,11.5,3.45,0.4376,0.41926,6.8758,66.273,0.10122,0.10836,0.23768,0.57528,0.13953,1,69,20,3.3333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,23,70,93,0.14658,2.5376,3.3714,10.261,3.0435,0.46032,0.36302,9.3645,40.952,0.12183,0.081907,0.28053,0.53856,0.10349,1,70,23,3.3714,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,22,66,88,0.12741,2.1023,2.803,8.4091,3,0.45983,0.40351,7.4765,64.181,0.11997,0.13438,0.27246,0.63705,0.52708,1,66,22,2.803,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
